"entity_key","date","year","year_season","year_quarter","year_month","year_week","season_number","season","season_de","season_einkauf","month","week","day_of_month","day_of_week","day_name","month_name","last_day_of_month","last_day_of_week","business_day","working_days","next_ship_day"
28,2012-01-28,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,28,6,Saturday ,January  ,2012-01-31,2012-01-29,2012-01-30,0,2012-01-30
29,2012-01-29,2012,"2012-1-SS","2012-Q1","2012-01","2012-04",1,SS,FS,FS12,1,4,29,7,Sunday   ,January  ,2012-01-31,2012-01-29,2012-01-30,0,2012-01-30
30,2012-01-30,2012,"2012-1-SS","2012-Q1","2012-01","2012-05",1,SS,FS,FS12,1,5,30,1,Monday   ,January  ,2012-01-31,2012-02-05,2012-01-30,1,2012-01-31
31,2012-01-31,2012,"2012-1-SS","2012-Q1","2012-01","2012-05",1,SS,FS,FS12,1,5,31,2,Tuesday  ,January  ,2012-01-31,2012-02-05,2012-01-31,1,2012-02-01
32,2012-02-01,2012,"2012-1-SS","2012-Q1","2012-02","2012-05",1,SS,FS,FS12,2,5,1,3,Wednesday,February ,2012-02-29,2012-02-05,2012-02-01,1,2012-02-02
33,2012-02-02,2012,"2012-1-SS","2012-Q1","2012-02","2012-05",1,SS,FS,FS12,2,5,2,4,Thursday ,February ,2012-02-29,2012-02-05,2012-02-02,1,2012-02-03
34,2012-02-03,2012,"2012-1-SS","2012-Q1","2012-02","2012-05",1,SS,FS,FS12,2,5,3,5,Friday   ,February ,2012-02-29,2012-02-05,2012-02-03,1,2012-02-06
35,2012-02-04,2012,"2012-1-SS","2012-Q1","2012-02","2012-05",1,SS,FS,FS12,2,5,4,6,Saturday ,February ,2012-02-29,2012-02-05,2012-02-06,0,2012-02-06
36,2012-02-05,2012,"2012-1-SS","2012-Q1","2012-02","2012-05",1,SS,FS,FS12,2,5,5,7,Sunday   ,February ,2012-02-29,2012-02-05,2012-02-06,0,2012-02-06
37,2012-02-06,2012,"2012-1-SS","2012-Q1","2012-02","2012-06",1,SS,FS,FS12,2,6,6,1,Monday   ,February ,2012-02-29,2012-02-12,2012-02-06,1,2012-02-07
38,2012-02-07,2012,"2012-1-SS","2012-Q1","2012-02","2012-06",1,SS,FS,FS12,2,6,7,2,Tuesday  ,February ,2012-02-29,2012-02-12,2012-02-07,1,2012-02-08
39,2012-02-08,2012,"2012-1-SS","2012-Q1","2012-02","2012-06",1,SS,FS,FS12,2,6,8,3,Wednesday,February ,2012-02-29,2012-02-12,2012-02-08,1,2012-02-09
40,2012-02-09,2012,"2012-1-SS","2012-Q1","2012-02","2012-06",1,SS,FS,FS12,2,6,9,4,Thursday ,February ,2012-02-29,2012-02-12,2012-02-09,1,2012-02-10
41,2012-02-10,2012,"2012-1-SS","2012-Q1","2012-02","2012-06",1,SS,FS,FS12,2,6,10,5,Friday   ,February ,2012-02-29,2012-02-12,2012-02-10,1,2012-02-13
42,2012-02-11,2012,"2012-1-SS","2012-Q1","2012-02","2012-06",1,SS,FS,FS12,2,6,11,6,Saturday ,February ,2012-02-29,2012-02-12,2012-02-13,0,2012-02-13
43,2012-02-12,2012,"2012-1-SS","2012-Q1","2012-02","2012-06",1,SS,FS,FS12,2,6,12,7,Sunday   ,February ,2012-02-29,2012-02-12,2012-02-13,0,2012-02-13
44,2012-02-13,2012,"2012-1-SS","2012-Q1","2012-02","2012-07",1,SS,FS,FS12,2,7,13,1,Monday   ,February ,2012-02-29,2012-02-19,2012-02-13,1,2012-02-14
45,2012-02-14,2012,"2012-1-SS","2012-Q1","2012-02","2012-07",1,SS,FS,FS12,2,7,14,2,Tuesday  ,February ,2012-02-29,2012-02-19,2012-02-14,1,2012-02-15
46,2012-02-15,2012,"2012-1-SS","2012-Q1","2012-02","2012-07",1,SS,FS,FS12,2,7,15,3,Wednesday,February ,2012-02-29,2012-02-19,2012-02-15,1,2012-02-16
47,2012-02-16,2012,"2012-1-SS","2012-Q1","2012-02","2012-07",1,SS,FS,FS12,2,7,16,4,Thursday ,February ,2012-02-29,2012-02-19,2012-02-16,1,2012-02-17
48,2012-02-17,2012,"2012-1-SS","2012-Q1","2012-02","2012-07",1,SS,FS,FS12,2,7,17,5,Friday   ,February ,2012-02-29,2012-02-19,2012-02-17,1,2012-02-20
49,2012-02-18,2012,"2012-1-SS","2012-Q1","2012-02","2012-07",1,SS,FS,FS12,2,7,18,6,Saturday ,February ,2012-02-29,2012-02-19,2012-02-20,0,2012-02-20
50,2012-02-19,2012,"2012-1-SS","2012-Q1","2012-02","2012-07",1,SS,FS,FS12,2,7,19,7,Sunday   ,February ,2012-02-29,2012-02-19,2012-02-20,0,2012-02-20
51,2012-02-20,2012,"2012-1-SS","2012-Q1","2012-02","2012-08",1,SS,FS,FS12,2,8,20,1,Monday   ,February ,2012-02-29,2012-02-26,2012-02-20,1,2012-02-21
52,2012-02-21,2012,"2012-1-SS","2012-Q1","2012-02","2012-08",1,SS,FS,FS12,2,8,21,2,Tuesday  ,February ,2012-02-29,2012-02-26,2012-02-21,1,2012-02-22
53,2012-02-22,2012,"2012-1-SS","2012-Q1","2012-02","2012-08",1,SS,FS,FS12,2,8,22,3,Wednesday,February ,2012-02-29,2012-02-26,2012-02-22,1,2012-02-23
54,2012-02-23,2012,"2012-1-SS","2012-Q1","2012-02","2012-08",1,SS,FS,FS12,2,8,23,4,Thursday ,February ,2012-02-29,2012-02-26,2012-02-23,1,2012-02-24
55,2012-02-24,2012,"2012-1-SS","2012-Q1","2012-02","2012-08",1,SS,FS,FS12,2,8,24,5,Friday   ,February ,2012-02-29,2012-02-26,2012-02-24,1,2012-02-27
56,2012-02-25,2012,"2012-1-SS","2012-Q1","2012-02","2012-08",1,SS,FS,FS12,2,8,25,6,Saturday ,February ,2012-02-29,2012-02-26,2012-02-27,0,2012-02-27
57,2012-02-26,2012,"2012-1-SS","2012-Q1","2012-02","2012-08",1,SS,FS,FS12,2,8,26,7,Sunday   ,February ,2012-02-29,2012-02-26,2012-02-27,0,2012-02-27
58,2012-02-27,2012,"2012-1-SS","2012-Q1","2012-02","2012-09",1,SS,FS,FS12,2,9,27,1,Monday   ,February ,2012-02-29,2012-03-04,2012-02-27,1,2012-02-28
59,2012-02-28,2012,"2012-1-SS","2012-Q1","2012-02","2012-09",1,SS,FS,FS12,2,9,28,2,Tuesday  ,February ,2012-02-29,2012-03-04,2012-02-28,1,2012-02-29
60,2012-02-29,2012,"2012-1-SS","2012-Q1","2012-02","2012-09",1,SS,FS,FS12,2,9,29,3,Wednesday,February ,2012-02-29,2012-03-04,2012-02-29,1,2012-03-01
61,2012-03-01,2012,"2012-1-SS","2012-Q1","2012-03","2012-09",1,SS,FS,FS12,3,9,1,4,Thursday ,March    ,2012-03-31,2012-03-04,2012-03-01,1,2012-03-02
62,2012-03-02,2012,"2012-1-SS","2012-Q1","2012-03","2012-09",1,SS,FS,FS12,3,9,2,5,Friday   ,March    ,2012-03-31,2012-03-04,2012-03-02,1,2012-03-05
63,2012-03-03,2012,"2012-1-SS","2012-Q1","2012-03","2012-09",1,SS,FS,FS12,3,9,3,6,Saturday ,March    ,2012-03-31,2012-03-04,2012-03-05,0,2012-03-05
64,2012-03-04,2012,"2012-1-SS","2012-Q1","2012-03","2012-09",1,SS,FS,FS12,3,9,4,7,Sunday   ,March    ,2012-03-31,2012-03-04,2012-03-05,0,2012-03-05
65,2012-03-05,2012,"2012-1-SS","2012-Q1","2012-03","2012-10",1,SS,FS,FS12,3,10,5,1,Monday   ,March    ,2012-03-31,2012-03-11,2012-03-05,1,2012-03-06
66,2012-03-06,2012,"2012-1-SS","2012-Q1","2012-03","2012-10",1,SS,FS,FS12,3,10,6,2,Tuesday  ,March    ,2012-03-31,2012-03-11,2012-03-06,1,2012-03-07
67,2012-03-07,2012,"2012-1-SS","2012-Q1","2012-03","2012-10",1,SS,FS,FS12,3,10,7,3,Wednesday,March    ,2012-03-31,2012-03-11,2012-03-07,1,2012-03-08
68,2012-03-08,2012,"2012-1-SS","2012-Q1","2012-03","2012-10",1,SS,FS,FS12,3,10,8,4,Thursday ,March    ,2012-03-31,2012-03-11,2012-03-08,1,2012-03-09
